"ПО УЕЗДАМ","Число магазинов","Налицо Озимого","Налицо Ярового","В ссуде и недоимке прежних лет Озимого","В ссуде и недоимке прежних лет Ярового"
"Красноярскому",85,7310,54693,6041,104571
"Енисейскому",99,25343,21494,16231,73556
"Канскому",116,21416,9683,20769,70094
"Ачинскому",108,22201,18801,23318,88569
"Минусинскому",163,11802,35735,12797,143147
"Итого",571,88072,140406,79156,479937
