Наименование местности,Каторжных окончивших срок работ (м.),Каторжных окончивших срок работ (ж.),Ссыльно-поселенцев (м.),Ссыльно-поселенцев (ж.),Водворяемых рабочих (м.),Водворяемых рабочих (ж.),Сосланных на житье (м.),Сосланных на житье (ж.),Административно-сосланных (м.),Административно-сосланных (ж.)
По Красноярскому уезду,-,-,-,не,по,ст,у,па,ло,-
Ачинскому,1,-,4,1,-,-,2,1,15,3
Минусинскому,-,-,-,-,-,-,4,-,3,-
Енисейскому,1,-,22,10,-,-,-,-,-,-
Канскому,4,-,4,-,-,-,2,-,4,-
Итого,6,-,30,11,-,-,8,1,22,3
