"№","Отделы музея","Находилось к началу отчетного года – к 12 февраля 1902 г.","Поступило в 1902 г.","Находилось к концу отчетного года – к 12 февраля 1903 г."
1,"Естественно-исторический",8190,187,8377
2,"Археологический",3365,380,3745
3,"Нумизматический",1258,76,1334
4,"Этнографический",844,112,956
5,"Промышленный",564,1,565
6,"Сельскохозяйственный",563,"—",563
7,"Общеобразовательный",314,"—",314
,"ИТОГО",15098,756,15854
