,Число кроватей,Оставалось к 1 января отчетного года,Прибыло в отчетном году,Умерло в отчетном году,Оставалось к 1 января следующего года
"Красноярская городская с домом умалишенных",145,152,1439,191,171
Канская,40,26,523,84,31
Ачинская,35,29,438,34,35
Минусинская,35,22,343,10,28
Енисейская,45,42,453,85,45
